title,journal,authors,doi,published,abstract,url,tags
Photo-thermal synergistic excitation: Feasible strategy to detect ethanol for wide bandgap ZIF-8 at low work temperature,Journal,Shi S.,10.1016/j.jes.2023.02.056,2024,"Zeolitic Imidazolate Framework-8 (ZIF-8) material was prepared by chemical precipitation method. The microstructure and physical properties of the as-prepared samples were characterized by XRD, BET, FESEM and UV spectrophotometer. The self-made four-channel measurement device was used to test the gas sensitivity of ZIF-8 material toward ethanol gas under photo-thermal synergistic excitation. The results showed that the sample was typical ZIF-8 (Eg = 4.96 eV) with a regular dodecahedron shape and the specific surface is up to 1793 m2/g. The as-prepared ZIF-8 has a gas response value of 55.04 to 100 ppm ethanol at 75 °C and it shows good gas sensing selectivity and repeated stability. The excellent gas sensitivity can be attributed to the increase of free electron concentration in the ZIF-8 conduction band by photo-thermal synergistic excitation, and the large specific surface area of ZIF-8 material provides more active sites for gas-solid surface reaction. The reaction mechanism of ZIF-8 material under multi-field excitation was also discussed.",https://www.sciencedirect.com/science/article/abs/pii/S1001074223001067,"{'country': 'China', 'school': 'Kunming University of Science and Technology'}"
"Water-soluble brown carbon in atmospheric aerosols from the resource-dependent cities: Optical properties, chemical compositions and sources",Journal,Wang H.,10.1016/j.jes.2023.02.035,2024,"As a vital type of light-absorbing aerosol, brown carbon (BrC) presents inherent associations with atmospheric photochemistry and climate change. However, the understanding of the chemical and optical properties of BrC is limited, especially in some resource-dependent cities with long heating periods in northwest China. This study showed that the annual average abundances of Water-soluble BrC (WS-BrC) were 9.33±7.42 and 8.69±6.29 µg/m3 in Baotou and Wuhai and the concentrations, absorption coefficient (Abs365), and mass absorption efficiency (MAE365) of WS-BrC presented significant seasonal patterns, with high values in the heating season and low values in the non-heating season; while showing opposite seasonal trends for the Absorption Ångström exponent (AAE300-400). Comparatively, the levels of WS-BrC in developing regions (such as cities in Asia) were higher than those in developed regions (such as cities in Europe and Australia), indicating the significant differences in energy consumption in these regions. By combining fluorescence excitation-emission matrix (EEM) spectra with the parallel factor (PARAFAC) model, humic-like (C1 and C2) and protein-like (C3) substances were identified, and accounted for 61.40%±4.66% and 38.6%±3.78% at Baotou, and 60.33%±6.29% and 39.67%±4.17% at Wuhai, respectively. The results of source apportionment suggested that the potential source regions of WS-BrC varied in heating vs. non-heating seasons and that the properties of WS-BrC significantly depended on primary emissions (e.g., combustion emissions) and secondary formation.",https://www.sciencedirect.com/science/article/abs/pii/S1001074223000827,"{'country': 'China', 'school': 'Inner Mongolia University China'}"
Comparative analysis of four edible mushrooms based on HPLC fingerprint and pattern recognition analysis,Journal,Si X.,10.1016/j.jfutfo.2023.05.008,2024,"A high performance liquid chromatography-ultraviolet (HPLC-UV) fingerprint method for the overall chemical analysis of edible mushrooms was established based on Auricularia heimuer for the first time, and then applied to analyze 60 batches of A. heimuer, Auricularia cornea, Auricularia cornea ʻYu Muerʼ and Tremella fuciformis. A total of 9 characteristic peaks of A. heimuer, 11 characteristic peaks of A. cornea, 6 characteristic peaks of A. cornea ʻYu Muerʼ, and 9 characteristic peaks of T. fuciformis were designated. Then, a combinatory analysis, including similarity evaluation, hierarchical cluster analysis and principal component analysis, revealed the chemical consistency and difference between samples from the same and different species. The HPLC fingerprint method established in this paper could be used to characterize the components of A. heimuer, A. cornea, A. cornea ʻYu Muerʼ, and T. fuciformis and discriminate the 4 edible mushrooms effectively in combination with pattern recognition analysis.",https://www.sciencedirect.com/science/article/abs/pii/S2772566923000411,"{'country': 'China', 'school': 'Peking University Health Science Center'}"
Fe/S oxidation-coupled arsenic speciation transformation mediated by AMD enrichment culture under different pH conditions,Journal,Zhou Y.h.,10.1016/j.jes.2023.03.008,2024,"Arsenic (As) speciation transformation in acid mine drainage (AMD) is comprehensively affected by biological and abiotic factors, such as microbially mediated Fe/S redox reactions and changes in environmental conditions (pH and oxidation-reduction potential). However, their combined impacts on arsenic speciation transformation remain poorly studied. Therefore, we explored arsenic transformation and immobilization during pyrite dissolution mediated by AMD enrichment culture under different acidic pH conditions. The results for incubation and mineralogical transformation of solid residues show that in the presence of AMD enrichment culture, pH 2.0, 2.5, and 3.0 are more conducive to the formation of jarosites and ferric arsenate, which could immobilize high quantities of dissolved arsenic by adsorption and coprecipitation. The pH conditions significantly affect the initial adsorption of microbial cells to the minerals and the evolution of microbial community structure, further influencing the biodissolution of pyrite and the release and oxidation process of Fe/S. The results of Fe/S/As speciation transformation of the solid residues show that the transformation of Fe, S, and As in solution is mainly regulated by pH and potential values, which imposed significantly different effects on the formation of secondary minerals and thus arsenic oxidation and immobilization. The above results indicated that arsenic transformation is closely related to the Fe/S oxidation associated with pyrite bio-oxidation, and this correlation is critically regulated by the pH conditions of the system.",https://www.sciencedirect.com/science/article/abs/pii/S1001074223001134,"{'country': 'China', 'school': 'Central South University'}"
Selective immobilization of Pb(II) by biogenic whewellite and its mechanism,Journal,Wang X.,10.1016/j.jes.2023.03.014,2024,"The development of bio-adsorbents with highly selective immobilization properties for specific heavy metals is a great challenge, but has important application value. Biogenic whewellite (BW) with high selectivity for Pb(II) was synthesized by mineral microbial transformation. The selective immobilization properties and mechanism of BW for Pb(II) were analyzed by combining mineral characterization technology and batch adsorption research methods. The results indicated that BW can efficiently and selectively immobilize Pb(II) in single or composite heavy metal adsorption solutions, and the immobilized Pb(II) is difficult to desorb. BW undergoes monolayer adsorption on Pb(II), Qmax ≈ 1073.17 mg/g. The immobilization of Pb(II) by BW is a physico-chemical adsorption process with spontaneous heat absorption and an accompanying increase in entropy. In addition, the sequestration of Pb(II) by BW remains around 756.99 mg/g even at pH = 1. The excellent selective immobilization properties of BW for Pb(II) are closely related to its smaller Ksp, electrostatic repulsion effect, organic-inorganic composite structure, acid resistance and the formation of Pb(II) oxalate. This study provides beneficial information about the recycling of lead in acidic lead-containing wastewater and composite heavy metal contaminated water bodies.",https://www.sciencedirect.com/science/article/abs/pii/S1001074223001195,"{'country': 'China', 'school': 'Nanjing Normal University'}"
Effects of combustion temperature on the optical properties of brown carbon from biomass burning,Journal,Gao P.,10.1016/j.jes.2022.12.026,2024,"Biomass burning has been known as one of main sources of Brown Carbon (BrC) in atmosphere. In this study, by controlling the combustion temperature at 250°C, 350°C, and 450°C, the methanol soluble organic carbon (MSOC) and methanol insoluble carbon (MISC) from pine wood burning was collected by impinger. UV–Vis, excitation emission matrix (EEM), TEM and FTIR spectra were applied to investigate the properties of BrC collected. For MSOC at 250°C and 350°C, all the spectral profiles of UV–Vis absorption and excitation emission matrix are almost the same, while the EEM of MSOC at 450°C are different from that of the other two. For MISC fluorescence was observed only in the case of 450°C. In the FTIR spectra, with the temperature increasing the peaks associated to the oxygen-contained functions was weakened, indicating the formation of the fluorophores with larger conjugated system, especially aromatic hydrocarbons. Our results show that biomass combustion at low temperature produces more oxygen-riched BrC, which possesses relatively lower light absorption, while at high temperature produces more aromatics hydrocarbons with relatively strong light absorption. The results of this work are helpful to trace the source of brown carbon and optimize biomass energy utilization.",https://www.sciencedirect.com/science/article/abs/pii/S1001074222006428,"{'country': 'China', 'school': 'University of Chinese Academy of Sciences'}"
An ultra-porous g-C<inf>3</inf>N<inf>4</inf> micro-tube coupled with MXene (Ti<inf>3</inf>C<inf>2</inf>T<inf>X</inf>) nanosheets for efficient degradation of organics under natural sunlight,Journal,Ya Z.,10.1016/j.jes.2022.10.049,2024,"It remains as a challenge for realizing efficient photo-responsive catalysts towards large-scale degradation of organic pollutants under natural sunlight. This work reports a new pore engineering strategy for creating ultra-porous g-C3N4 micro-tubes with an unprecedentedly high specific surface area of 152.96 m2/g. This is mainly associated with releasing internal vapor pressure in the autoclave where the hydrothermal treatment of the urea/melamine mixture is processed. Supported by microscopic observation, porosity measurement and spectroscopic characterization, it is found that releasing the pressure at halfway of hydrothermal process is vital for forming exfoliated rod-like precursors and the de-aggregation of these rods presents substantial benefits on the production of mesopores on g-C3N4 micro-tubes during the calcination of precursors. This offers a large number of reactive sites required by photocatalytic reaction. Coupling these micro-tubes with Ti3C2TX nanosheets via electrostatic interaction yields a 1D/2D heterojunction with a close interfacial contact. The addition of metallically conductive Ti3C2TX nanosheets accelerates the separation between electrons and holes, and also enhances the light absorption. All these merits of structural design lead to forming a group of highly efficient catalysts demonstrating an excellent photocatalytic degradation rate of k = 0.0560 min−1 for RhB dyes under 100 mW/cm2 visible light radiation that micks sunlight outdoors. This laboratory valuation is further supported by an outdoor test that shows a fast degradation rate of 0.0744 min−1 under natural sunlight.",https://www.sciencedirect.com/science/article/abs/pii/S1001074222005502,"{'country': 'China', 'school': 'Nanjing Tech University'}"
Simulation of gas-solids heat transfer in cyclone pyrolyzer using CFD-DEM model,Journal,Zhang N.,10.1016/j.partic.2023.03.025,2024,"Fast heat transfer in the pyrolyzer can increase the yield of pyrolysis gas and tar, and improve the quality of tar. Compared with the downer pyrolyzer, the cyclone pyrolyzer can simultaneously achieve high solids holdup and violent turbulence, and correspondingly faster heat transfer. In this work, the heat transfer behavior in the cyclone pyrolyzer is specifically studied using the computational fluid dynamics-discrete element method. The simulation results reveal that the gas-solids heat convection contributes mainly to the heat transfer process, and the heat radiation and conduction are relatively small and almost negligible, respectively. Compared with the downer pyrolyzer under the same operating conditions, the heating rate is significantly increased in the cyclone pyrolyzer. By analyzing the flow characteristics in the cyclone pyrolyzer, it is found that the region of high convective heat transfer rate coincides with that of natural cyclone length. Additionally, the final coal temperature increases with the increase of gas velocity and exists a maximum value. These results can offer some qualitative understanding of the heat transfer behavior in the cyclone pyrolyzer.",https://www.sciencedirect.com/science/article/abs/pii/S1674200123000998,"{'country': 'China', 'school': 'Taiyuan University of Technology'}"
Comprehensive study on the spatial distribution of heavy metals and their environmental risks in high-sulfur coal gangue dumps in China,Journal,Dong Y.,10.1016/j.jes.2022.12.023,2024,"The accumulation of coal gangue (CG) from coal mining is an important source of heavy metals (HMs) in soil. Its spatial distribution and environment risk assessment are extremely important for the management and remediation of HMs. Eighty soil samples were collected from the high-sulfur CG site in northern China and analyzed for six HMs. The results showed that the soil was heavily contaminated by Mn, Cr and Ni based on the Nemerow index, and posed seriously ecological risk depended on the geo-accumulation index, potential ecological risk index and risk assessment code. The semi-variogram model and ordinary kriging interpolation accurately portrayed the spatial distribution of HMs. Fe, Mn, and Cr were distributed by band diffusion, Ni was distributed by core, the distribution of Cu had obvious patchiness and Zn was more uniform. The spatial autocorrelation indicated that all HMs had strong spatial heterogeneity. The BCR sequential extraction was employed to qualify the geochemical fractions of HMs. The data indicated that Fe and Cr were dominated by residual fraction; Cu, Ni and Zn were dominated by reducible and oxidizable fractions; Mn was dominated by reducible and acid-extractable (25.38%-44.67%) fractions. Pearson correlation analysis showed that pH was the main control factor affecting the non-residue fractions of HMs. Therefore, acid production from high sulfur CG reduced soil pH by 2-3, which indirectly promoted the activity of HMs. Finally, the conceptual model of HMs contamination at the CG site was proposed, which can be useful for the development of ecological remediation strategies.",https://www.sciencedirect.com/science/article/abs/pii/S1001074222006374,"{'country': 'China', 'school': 'University of Science and Technology Beijing'}"
The biochemical behavior and mechanism of uranium(Ⅵ) bioreduction induced by natural Bacillus thuringiensis,Journal,Chen S.,10.1016/j.jes.2022.12.001,2024,"For a broader understanding of uranium migration affected by microorganisms in natural anaerobic environment, the bioreduction of uranium(Ⅵ) (U(Ⅵ)) was revealed in Bacillus thuringiensis, a dominant bacterium strain with potential of uranium-tolerant isolated from uranium contaminated soil. The reduction behavior was systematically investigated by the quantitative analysis of U(Ⅳ) in bacteria, and mechanism was inferred from the pathway of electron transmission. Under anaerobic conditions, appropriate biomass and sodium lactate as electron donor, reduction behavior of U(Ⅵ) induced by B. thuringiensis was restricted by the activity of lactate dehydrogenase, which was directly affected by the initial pH, temperature and initial U(Ⅵ) concentration of bioreduction system. Bioreduction of U(Ⅵ) was driven by the generation of nicotinamide adenine dinucleotide (NADH) from enzymatic reaction of sodium lactate with various dehydrogenase. The transmission of the electrons from bacteria to U(Ⅵ) was mainly supported by the intracellular NADH dehydrogenase-ubiquinone system, this process could maintain the biological activity of cells.",https://www.sciencedirect.com/science/article/abs/pii/S1001074222006167,"{'country': 'China', 'school': 'Sichuan University'}"
"Photodegradation of xylene isomers: Kinetics, mechanism, secondary pollutant formation potential and health risk evaluation",Journal,Chen X.,10.1016/j.jes.2022.12.034,2024,"Photodegradation technology has been widely applied in the purification of industrial aromatic hydrocarbons. However, whether this technology efficiently removes the pollutants to prevent secondary pollution and health risk is still unclear. Here, the photodegradation processes of three xylenes were compared under designed reaction atmospheres and light sources. Xe lamp showed poor photodegradation ability toward xylenes, no matter in N2 or N2+O2 system, while much higher photodegradation performance of xylenes were obtained under ultraviolet (UV) and vacuum ultraviolet (VUV) irradiation, especially in N2+O2+VUV system, where 97.9% of m-xylene, 99.0% of o-xylene or 87.5% of p-xylene with the initial concentration of 860 mg/m3 was removed within 240 min. The xylenes underwent three processes of photo-isomerization, photodecomposition and photo-oxidation to produce intermediates of aromatics, alkanes and carbonyls. Among them, the photo-isomerization products showed the highest concentration percentage (e.g., ≥50% in o-xylene system), confirming that photo-isomerization reaction was the dominated photodegradation process of xylenes. Moreover, these isomerized products not only contributed about 97% and 91% to the formation potential of O3 (OFP) and secondary organic aerosols (SOAFP), but also displayed obvious non-carcinogenic risk, although one of photodecomposition product—benzene showed the highest occupational exposure risk. Therefore, the secondary pollution and health risks of photodegradation products of xylenes were non-ignorable, although the OFP, SOAFP and health risks of the generated products reduced at least 4.5 times in comparison with that of the degraded xylenes. The findings are helpful for the appropriate application of this technology in the purification of industrial organic waste gas.",https://www.sciencedirect.com/science/article/abs/pii/S1001074223000025,"{'country': 'China', 'school': 'Guangdong University of Technology'}"
